,toughness,power,cmc,cardType,cardText,manaCost,colorlessMana,colorless,Variable Colorless,mana_Blue,mana_Black,mana_Red,mana_Green,mana_White,Primary Type,Activated ability
Air Elemental,4,4,5,"[u'Creature', u'Elemental']",['Flying'],"[u'3', u'Blue', u'Blue']",3,1,0,2,0,0,0,0,Creature,0
Ancestral Recall,,,1,[u'Instant'],['Target player draws three cards.'],[u'Blue'],0,0,0,1,0,0,0,0,Instant,0
Animate Artifact,,,4,"[u'Enchantment', u'Aura']","['Enchant artifact', ""As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.""]","[u'3', u'Blue']",3,1,0,1,0,0,0,0,Enchantment,0
Animate Dead,,,2,"[u'Enchantment', u'Aura']","['Enchant creature card in a graveyard', 'When Animate Dead enters the battlefield, if it\'s on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature\'s controller sacrifices it.', 'Enchanted creature gets -1/-0.']","[u'1', u'Black']",1,1,0,0,1,0,0,0,Enchantment,0
Ankh of Mishra,,,2,[u'Artifact'],"[""Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.""]",[u'2'],2,1,0,0,0,0,0,0,Artifact,0
Bad Moon,,,2,[u'Enchantment'],['Black creatures get +1/+1.'],"[u'1', u'Black']",1,1,0,0,1,0,0,0,Enchantment,0
Basalt Monolith,,,3,[u'Artifact'],"[""Basalt Monolith doesn't untap during your untap step."", u'Tap', ': Add ', u'3', ' to your mana pool.', u'3', ': Untap Basalt Monolith.']",[u'3'],3,1,0,0,0,0,0,0,Artifact,1
Black Knight,2,2,2,"[u'Creature', u'Human Knight']","['First strike ', '<i>(This creature deals combat damage before creatures without first strike.)</i>', 'Protection from white ', ""<i>(This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)</i>""]","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Creature,0
Black Lotus,,,0,[u'Artifact'],"[u'Tap', ', Sacrifice Black Lotus: Add three mana of any one color to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Black Vise,,,1,[u'Artifact'],"['As Black Vise enters the battlefield, choose an opponent.', ""At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in his or her hand minus 4.""]",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Blue Elemental Blast,,,1,[u'Instant'],"['Choose one \xe2\x80\x94', '\xe2\x80\xa2 Counter target red spell.', '\xe2\x80\xa2 Destroy target red permanent.']",[u'Blue'],0,0,0,1,0,0,0,0,Instant,0
Bog Wraith,3,3,4,"[u'Creature', u'Wraith']","['Swampwalk ', ""<i>(This creature can't be blocked as long as defending player controls a Swamp.)</i>""]","[u'3', u'Black']",3,1,0,0,1,0,0,0,Creature,0
Braingeyser,,,2,[u'Sorcery'],['Target player draws X cards.'],"[u'Variable Colorless', u'Blue', u'Blue']",0,0,1,2,0,0,0,0,Sorcery,0
Celestial Prism,,,3,[u'Artifact'],"[u'2', ', ', u'Tap', ': Add one mana of any color to your mana pool.']",[u'3'],3,1,0,0,0,0,0,0,Artifact,1
Chaos Orb,,,2,[u'Artifact'],"[u'1', ', ', u'Tap', ': If Chaos Orb is on the battlefield, flip Chaos Orb onto the battlefield from a height of at least one foot. If Chaos Orb turns over completely at least once during the flip, destroy all nontoken permanents it touches. Then destroy Chaos Orb.']",[u'2'],2,1,0,0,0,0,0,0,Artifact,1
Clockwork Beast,4,0,6,"[u'Artifact Creature', u'Beast']","['Clockwork Beast enters the battlefield with seven +1/+0 counters on it.', 'At end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.', u'Variable Colorless', ', ', u'Tap', "": Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.""]",[u'6'],6,1,0,0,0,0,0,0,Artifact Creature,1
Clone,0,0,4,"[u'Creature', u'Shapeshifter']",['You may have Clone enter the battlefield as a copy of any creature on the battlefield.'],"[u'3', u'Blue']",3,1,0,1,0,0,0,0,Creature,0
Conservator,,,4,[u'Artifact'],"[u'3', ', ', u'Tap', ': Prevent the next 2 damage that would be dealt to you this turn.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
Contract from Below,,,1,[u'Sorcery'],"[""Remove Contract from Below from your deck before playing if you're not playing for ante."", 'Discard your hand, ante the top card of your library, then draw seven cards.']",[u'Black'],0,0,0,0,1,0,0,0,Sorcery,0
Copper Tablet,,,2,[u'Artifact'],"[""At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player.""]",[u'2'],2,1,0,0,0,0,0,0,Artifact,0
Crystal Rod,,,1,[u'Artifact'],"['Whenever a player casts a blue spell, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Cursed Land,,,4,"[u'Enchantment', u'Aura']","['Enchant land', ""At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.""]","[u'2', u'Black', u'Black']",2,1,0,0,2,0,0,0,Enchantment,0
Cyclopean Tomb,,,4,[u'Artifact'],"[u'2', ', ', u'Tap', ': Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate this ability only during your upkeep.', 'When Cyclopean Tomb is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with Cyclopean Tomb but that a mire counter has not been removed from with Cyclopean Tomb.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
Dark Ritual,,,1,[u'Instant'],"['Add ', u'Black', u'Black', u'Black', ' to your mana pool.']",[u'Black'],0,0,0,0,1,0,0,0,Instant,0
Darkpact,,,3,[u'Sorcery'],"[""Remove Darkpact from your deck before playing if you're not playing for ante."", 'You own target card in the ante. Exchange that card with the top card of your library.']","[u'Black', u'Black', u'Black']",0,0,0,0,3,0,0,0,Sorcery,0
Deathgrip,,,2,[u'Enchantment'],"[u'Black', u'Black', ': Counter target green spell.']","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Enchantment,0
Deathlace,,,1,[u'Instant'],"['Target spell or permanent becomes black. ', '<i>(Mana symbols on that permanent remain unchanged.)</i>']",[u'Black'],0,0,0,0,1,0,0,0,Instant,0
Demonic Attorney,,,3,[u'Sorcery'],"[""Remove Demonic Attorney from your deck before playing if you're not playing for ante."", 'Each player antes the top card of his or her library.']","[u'1', u'Black', u'Black']",1,1,0,0,2,0,0,0,Sorcery,0
Demonic Hordes,5,5,6,"[u'Creature', u'Demon']","[u'Tap', ': Destroy target land.', 'At the beginning of your upkeep, unless you pay ', u'Black', u'Black', u'Black', "", tap Demonic Hordes and sacrifice a land of an opponent's choice.""]","[u'3', u'Black', u'Black', u'Black']",3,1,0,0,3,0,0,0,Creature,1
Demonic Tutor,,,2,[u'Sorcery'],['Search your library for a card and put that card into your hand. Then shuffle your library.'],"[u'1', u'Black']",1,1,0,0,1,0,0,0,Sorcery,0
Dingus Egg,,,4,[u'Artifact'],"[""Whenever a land is put into a graveyard from the battlefield, Dingus Egg deals 2 damage to that land's controller.""]",[u'4'],4,1,0,0,0,0,0,0,Artifact,0
Disrupting Scepter,,,3,[u'Artifact'],"[u'3', ', ', u'Tap', ': Target player discards a card. Activate this ability only during your turn.']",[u'3'],3,1,0,0,0,0,0,0,Artifact,1
Drain Life,,,2,[u'Sorcery'],"['Spend only black mana on X.', ""Drain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.""]","[u'Variable Colorless', u'1', u'Black']",1,1,1,0,1,0,0,0,Sorcery,0
Drudge Skeletons,1,1,2,"[u'Creature', u'Skeleton']","[u'Black', ': Regenerate Drudge Skeletons. ', ""<i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>""]","[u'1', u'Black']",1,1,0,0,1,0,0,0,Creature,0
Evil Presence,,,1,"[u'Enchantment', u'Aura']","['Enchant land', 'Enchanted land is a Swamp.']",[u'Black'],0,0,0,0,1,0,0,0,Enchantment,0
Fear,,,2,"[u'Enchantment', u'Aura']","['Enchant creature ', '<i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i>', 'Enchanted creature has fear. ', ""<i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>""]","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Enchantment,0
Forcefield,,,3,[u'Artifact'],"[u'1', ': The next time an unblocked creature of your choice would deal combat damage to you this turn, prevent all but 1 of that damage.']",[u'3'],3,1,0,0,0,0,0,0,Artifact,0
Frozen Shade,1,0,3,"[u'Creature', u'Shade']","[u'Black', ': Frozen Shade gets +1/+1 until end of turn.']","[u'2', u'Black']",2,1,0,0,1,0,0,0,Creature,0
Gauntlet of Might,,,4,[u'Artifact'],"['Red creatures get +1/+1.', 'Whenever a Mountain is tapped for mana, its controller adds ', u'Red', ' to his or her mana pool ', '<i>(in addition to the mana the land produces)</i>', '.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,0
Glasses of Urza,,,1,[u'Artifact'],"[u'Tap', "": Look at target player's hand.""]",[u'1'],1,1,0,0,0,0,0,0,Artifact,1
Gloom,,,3,[u'Enchantment'],"['White spells cost ', u'3', ' more to cast.', 'Activated abilities of white enchantments cost ', u'3', ' more to activate.']","[u'2', u'Black']",2,1,0,0,1,0,0,0,Enchantment,0
Helm of Chatzuk,,,1,[u'Artifact'],"[u'1', ', ', u'Tap', ': Target creature gains banding until end of turn. ', ""<i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>""]",[u'1'],1,1,0,0,0,0,0,0,Artifact,1
Howl from Beyond,,,1,[u'Instant'],['Target creature gets +X/+0 until end of turn.'],"[u'Variable Colorless', u'Black']",0,0,1,0,1,0,0,0,Instant,0
Howling Mine,,,2,[u'Artifact'],"[""At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.""]",[u'2'],2,1,0,0,0,0,0,0,Artifact,0
Hypnotic Specter,2,2,3,"[u'Creature', u'Specter']","['Flying', 'Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.']","[u'1', u'Black', u'Black']",1,1,0,0,2,0,0,0,Creature,0
Icy Manipulator,,,4,[u'Artifact'],"[u'1', ', ', u'Tap', ': Tap target artifact, creature, or land.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
